member_id||bill_num||congress
B001281||hr1128||115
B001257||hr1129||115
B001260||hr113||115
B001273||hr1130||115
B001295||hr1131||115
B001297||hr1132||115
C001051||hr1133||115
C001084||hr1134||115
C000537||hr1135||115
C001053||hr1136||115
C001093||hr1137||115
C001094||hr1138||115
C001096||hr1139||115
B001260||hr114||115
D000620||hr1140||115
D000482||hr1141||115
D000533||hr1142||115
E000288||hr1143||115
E000288||hr1144||115
E000288||hr1145||115
E000288||hr1146||115
E000293||hr1147||115
G000568||hr1148||115
H001071||hr1149||115
B001260||hr115||115
H001065||hr1150||115
H001067||hr1151||115
H001067||hr1152||115
H001058||hr1153||115
H001048||hr1154||115
J000290||hr1155||115
J000174||hr1156||115
K000375||hr1157||115
K000376||hr1158||115
K000381||hr1159||115
B001260||hr116||115
K000381||hr1160||115
K000378||hr1161||115
K000387||hr1162||115
K000382||hr1163||115
L000564||hr1164||115
L000287||hr1165||115
L000576||hr1166||115
L000584||hr1167||115
L000480||hr1168||115
L000570||hr1169||115
B001248||hr117||115
M001197||hr1170||115
M001196||hr1171||115
N000015||hr1172||115
N000184||hr1173||115
N000147||hr1174||115
P000594||hr1175||115
P000597||hr1176||115
P000611||hr1177||115
P000599||hr1178||115
R000597||hr1179||115
B001248||hr118||115
R000591||hr1180||115
R000582||hr1181||115
R000575||hr1182||115
R000599||hr1183||115
R000515||hr1184||115
R000577||hr1185||115
R000577||hr1186||115
S000244||hr1187||115
S000244||hr1188||115
S000248||hr1189||115
B001248||hr119||115
S001185||hr1190||115
S000522||hr1191||115
S000522||hr1192||115
T000475||hr1193||115
W000808||hr1194||115
Z000017||hr1195||115
Z000017||hr1196||115
D000598||hr1197||115
D000598||hr1198||115
P000096||hr1199||115
L000287||hr12||115
B001248||hr120||115
S000250||hr1200||115
D000619||hr1201||115
H001050||hr1202||115
S000244||hr1203||115
S001187||hr1204||115
D000619||hr1205||115
M001189||hr1206||115
C001063||hr1207||115
C001063||hr1208||115
C001063||hr1209||115
G000553||hr121||115
C001063||hr1210||115
C001063||hr1211||115
H001048||hr1212||115
R000515||hr1213||115
B001269||hr1214||115
K000362||hr1215||115
M001189||hr1216||115
N000147||hr1217||115
W000798||hr1218||115
M001156||hr1219||115
G000553||hr122||115
L000562||hr1220||115
F000449||hr1221||115
B001257||hr1222||115
B001257||hr1223||115
A000374||hr1224||115
C001078||hr1225||115
C001038||hr1226||115
G000580||hr1227||115
H001045||hr1228||115
L000551||hr1229||115
G000553||hr123||115
L000551||hr1230||115
M001157||hr1231||115
M001143||hr1232||115
M001166||hr1233||115
M001181||hr1234||115
N000015||hr1235||115
Q000023||hr1236||115
R000577||hr1237||115
Y000066||hr1238||115
P000523||hr1239||115
G000553||hr124||115
G000559||hr1240||115
L000578||hr1241||115
S000185||hr1242||115
J000288||hr1243||115
K000210||hr1244||115
C000984||hr1245||115
C001107||hr1246||115
D000625||hr1247||115
E000297||hr1248||115
F000466||hr1249||115
G000553||hr125||115
F000459||hr1250||115
G000559||hr1251||115
H001077||hr1252||115
K000381||hr1253||115
L000554||hr1254||115
L000570||hr1255||115
M001193||hr1256||115
M001137||hr1257||115
P000605||hr1258||115
R000582||hr1259||115
G000553||hr126||115
S000248||hr1260||115
T000238||hr1261||115
T000462||hr1262||115
W000800||hr1263||115
W000816||hr1264||115
D000191||hr1265||115
B000574||hr1266||115
S001195||hr1267||115
S001172||hr1268||115
L000578||hr1269||115
G000553||hr127||115
N000002||hr1270||115
J000292||hr1271||115
R000515||hr1272||115
N000189||hr1273||115
N000189||hr1274||115
S000250||hr1275||115
A000370||hr1276||115
B001243||hr1277||115
E000297||hr1278||115
E000293||hr1279||115
B001248||hr128||115
F000449||hr1280||115
F000372||hr1281||115
G000580||hr1282||115
H001059||hr1283||115
J000290||hr1284||115
K000381||hr1285||115
K000188||hr1286||115
K000391||hr1287||115
K000382||hr1288||115
L000551||hr1289||115
B001248||hr129||115
L000551||hr1290||115
N000147||hr1291||115
P000599||hr1292||115
R000593||hr1293||115
R000609||hr1294||115
S001165||hr1295||115
T000462||hr1296||115
W000822||hr1297||115
W000815||hr1298||115
J000288||hr1299||115
C001053||hr130||115
M001180||hr1300||115
F000372||hr1301||115
M001197||hr1302||115
P000096||hr1303||115
R000582||hr1304||115
P000592||hr1305||115
D000191||hr1306||115
D000191||hr1307||115
D000191||hr1308||115
K000386||hr1309||115
C001053||hr131||115
S001200||hr1310||115
S001172||hr1311||115
P000611||hr1312||115
F000450||hr1313||115
G000289||hr1314||115
G000289||hr1315||115
C001093||hr1316||115
J000174||hr1317||115
H001056||hr1318||115
M001158||hr1319||115
C001053||hr132||115
K000378||hr1320||115
B001304||hr1321||115
C001080||hr1322||115
C001092||hr1323||115
M001166||hr1324||115
B001275||hr1325||115
S001180||hr1326||115
T000193||hr1327||115
B001295||hr1328||115
B001295||hr1329||115
C001053||hr133||115
A000369||hr1330||115
B001299||hr1331||115
B001278||hr1332||115
C001103||hr1333||115
C001103||hr1334||115
C001067||hr1335||115
C001096||hr1336||115
C001096||hr1337||115
D000616||hr1338||115
D000533||hr1339||115
